,lines
29, as a fair warning to everyone listening to this song i advise you to not hide your feelings do not pretend to be okay when you are not okay do not pretend to be happy when you are sad it will only lead to your misery do not you fucking hate it when you hear my name i feel the same and when you hear this you gong feel the pain and all these niggas that you fucking with to get away but girl i know you think about it almost every day and i will be honest i be jealous of these niggas true how you feeling with these niggas that you talk to captivated by your mind and your walk too cannot replace you with these bitches that i talk to this ai not lust it is love we had trust what is good i should have held you close should have kept you warm and when the rain is falling wonder who you call do not pray to god you would rather cry than call do not jump pretend it do not hurt repent i will not stomp my feet in a rage my nigga i am no chump need you and i crave you hate you think i ripped the wings off of my fucking angel do not hurt me damn wrac i will forever be the i will forever be the elephant in the room i will always love you i am sorry i am sorry
30, okay i am way too good at this shit i do not even really gotta try no more oh my god ronny bitch i am up bitch i am up bitch i am up bitch i am up bitch i am up bitch i am up bitch i am up bitch i am up bitch i am huh bitch i am up bitch i am up bitch i am up bitch i am up bitch i am up okay bitch i am up bitch i am up okay xans for her dinner uh bag from margiela uh bad lil bitch she spanish speak no english got no manners just like a gnome i am at your home right on your yard shoes are goyard dick in your broad her pussy stinky messy like binky bon appétittee okay bitch i do not see nobody better than me mm all these pussy niggas is jealous of me mm got a pussy wetter than swiffer you see mm steal a nigga flow and murder his beat uh stole a nigga bitch she murder my meat uh had a nigga numb from feet to the knee up when she suck my dick it is making her hiccup when i am in that pussy i just might do situps bitch i am up bitch i am up bitch i am up bitch i am up bitch i am up bitch i am up bitch i am up bitch i am up bitch i am up bitch i am up bitch i am up bitch i am up bitch i am up bitch i am up bitch i am up bitch i am up all these niggas fucking hoes ten toes never fold pussy nigga snatch your soul out your shirt acting buff acting up acting tough just might get you fist fucked all that talk about running up still your boy i am running up my flows acidic i murder rap virgins with it i am swerving flipping the bird while i am purging niggas my words is bigger matter of fact my dick bigger the bigger the figure the more they probably fuck niggas i will say it again no i do not wanna be friends with none of you fucking aliens i am predator nigga i batter you nigga yo matter of fact i am better than niggas i will battle you nigga woo bitch i am up bitch i am up bitch i am up bitch i am up bitch i am up bitch i am up bitch i am up bitch i am up bitch i am huh bitch i am up bitch i am up bitch i am up bitch i am up bitch i am up bitch i am up bitch i am up bitch i am up hey that was a fucking freestyle just so yall fuck niggas know thank you very much this this whole thing was a freestyle you can ask my engineer i was doing this shit in the motherfucking booth thank you very much okay
31, oh my god ronny oh she ratchet i might smash her bend that backwards i might pass her homie on casper geeking like dexter i do magic no distraction yeah my flows on destructo disc too afraid to cuff a bitch these boys on that sucker shit feature price went up as shit like oh big deal are you satan i reply like are you playing slurp on pussy like lo mein i am progressive like flo man therapist knocking at my fucking door man my body just look like gi joe man feds asking questions i do not fucking know man kim jong un to the fucking flow man like whip lash like whip lash like whip lash like whip mm diamond baller broke my shoulder she wang fuck but cannot come over ayy ayy when i met your shorty hit the running man mm hopped out of jail made a hunnid bands mm kkk i am just hanging man mm chris rock niggas acting funny man hm my money stretching like luffy uh like disney these niggas is goofy uh i do not fuck with snakes but like gucci uh these niggas act fool for some coochie uh i will not go back to jail uh these niggas is blind need braille huh watch how i switch watch how i switch nut on her switch watch how i mm nigga where the fuck is your energy cannot mimic your enemy play pawn defending me i can palm you niggas cause i warned you niggas i never swung you niggas i do not need no motherfuckers shoulders to lean on way i ditch her pussy i treat it like ding dong harder than the kim possible theme song yeah re real quick i justi just really wanted to say all you rappers suck oh she ratchet i might smash her bend that backwards she sing like pastor homie on casper geeking like dexter i do magic no distraction yeah my flows on destructo disc too afraid to cuff a bitch these boys on that sucker shit feature price went up as shit like i been trying to tell these niggas i got i got the krabby patty formula man come fuck with me
32, ooh ohoh ohoh she showed me fake love cannot forget how it hurt no ohoh made a list of my regrets and you were the first love ohoh oh it hurts i cannot forget how it hurt no ohoh made a list of my regrets
33, leave me alone i wanna go home it is all in my head i will not be upset if leave me alone i wanna go home it is all in my head i will not be upset if heartbroken misspoken breaking anything i touch i am not in love i will not let you control what i want hate me will not break me i am killing everyone i love hate me will not break me i am killing everyone i love hey you hey you you will not hate enough hey you you why you you you hate me will not break me i am killing everyone i love hate me will not break me i am killing everyone i love
34, —ference but a very important one and it was scheduled to talk about the great things that we are doing with the secretary on the veterans administration and we will talk about that very much so in a little while but i thought i should put out a comment as to what is going on in charlottesville so again i want to thank everybody for being here in particular i want to thank— mind me while i sit and pretend to make amends with all these false loves i pray the cement will fucking swallow you i will follow you down road to this brokenhearted love for you my heart has gone as still as a corpse never mind me while i sit and pretend to make amends with all these false loves i pray the cement will fucking swallow you i will follow you down road to this brokenhearted love for you my heart has gone as still as a corpse why the fuck should i apologize countrys orderless it is a lie by these fucking government scumbag dicksuckers with ties great people they are great people wanna fight for my future it is right in my hands and the future of many youth if i play my cards can advance and genuine dime i opened my mind and where can i find this future sever your mind or you will be blind and trapped in a mind of lies within our walls i am feeling like my mind within a war between myself between this slavery of media it is poor presentation violence on many sides the youth within our nation such is a pity depending on people resembling bible satan uh set em up off and wet em up off like it is playstation uh open up your minds and come together as a nation why why why why this has been going on for a long long time it has no place in america what is vital now is a swift restoration of law and order and the protection of innocent lives no citizen should ever fear for their safety and security in our society and no child should ever be afraid to go outside and play
35, hey hey hey i just fucked my ex bitch pull up on the next bitch like what is up give neck bitch please open your legs bitch no i am not your daddy bitch but i could be your daddy bitch got big legs like a caddy bitch really wanna fuck send the addy bitch know your daddy proud of you real bad bitch with a attitude know the whole school was fucking you really mad a nigga was cuffing you really make a nigga uncomfortable hey so where we go as we walk this lonely road so where we go so where we go as we walk this lonely road so where we go hey hey i just fucked my ex bitch pull up on the next bitch like what is up give neck bitch please open your legs bitch no i am not your daddy bitch but i could be your daddy bitch got big legs like a caddy bitch really wanna fuck send the addy bitch know your daddy proud of you real bad bitch with a attitude know the whole school was fucking you really mad a nigga was cuffing you really make a nigga uncomfortable hey hey so where we go as we walk this lonely road so where we go so where we go as we walk this lonely road so where we go
36, i put one in that chamber lay you in the face of god know to beface the fake fuck aight fuck is a feeling god level i am feeling odd fairily beverly hill westside bitch i am drilling your neighbor daughter at best buy if i hit up your jack then nigga you best slide if you toting that pistol nigga you best ride if you shoot that shit at me nigga i best die cause i am a muhfucking narcissist tripping you catch a clip bitchin you not equipped with that pussy boy do not be talking shit or you can meet this ak47 it got kick back cause i am a muhfucking martian in the heart of a moshpit put that boy in a coffin cause the way that he talking pussy boy do not be gawking i ai not doing no barking i ama let that shit rip leave his ass in the parking fuckboy do not test me fuckboy do not test me fuckboy do not test me fuckboy do not test boy do not test boy do not test boy do not test boy do not test boy do not test boy do not ayy yeah ayy fuckboy do not test me fuckboy do not test me fuckboy do not test me fuckboy do not test boy do not test boy do not test boy do not test boy do not test boy do not test boy do not ayy yeah ayy
37, i was like whoaohoh whoaohoh whoawoahoh whoaohoh will not look back on my mind will not let bad out my shine will not let you cloud my mind will not let you cloud my mind all my days i was crying all my lows all my highs told my mom i am gong shine told my love i am gong and i was like whoaohoh whoaohoh whoaohoh whoaohohohoh whoaohoh whoaoh and i was like whoaohoh whoaohoh whoaohoh whoaohohohoh
38, so much hate at the top it is a lonely place when you find out the opps ai not the only snakes and your spouse only know what you do not erase the world only know you by your worst mistakes so spaz on they ass that is the only way smash on the gas down stony ayy crash and come back with a swollen face and when i am on my way x hold the gate terrorize shit we do not negotiate if you bitchmade we do not associate show up at your birthday if you owe me cake with a black mask that is how we exfoliate so pardon my way my hearts in the way i follow my thoughts ai not no logic in ye said that is all i ama say if he caught him a case then send him to jail like a dog in a cage i ai not feeling the age no rotting away you are dark as the days you caught in the way cause coffins is laid under a tombstone cause even when you die they still throwing rocks at your graves so follow the wave cannot swallow the hate my mind trumps anything that a scholar could say do not know how to behave we rage out of the raves dislocate an arm just pop it in place cause the damned they ai not it all the pain and anguish turned me into a man so i ai not complaining now these things is changing no more lames is hanging no more fame in famous ai not no shame in shaming she wanna give you the cookie you famous amos she gave you the pussy but you ai not pay for the anus now your name is tainted by the claims they painting the defendant is guilty no one blames the plaintiff gotta say it in laymangs terms while you wait on arraignments cause if the jury say you did it the payment is heinous give me one minute my lady just fainted my babies is crying you understand what i am saying one minute one minute gone one minute and the next ones mine one minute one minute gone one minute and the next ones mine one minute one minute gone one minute and the next ones mine one minute one minute gone one minute and the next ones mine ahaha faith i want more faith i want more faith i want more faith i want more faith i want more faith i want more one minute one minute gone one minute and the next ones mine one minute one minute gone one minute and the next ones mine one minute one minute gone one minute and then the next ones mine one minute one minute gone one minute and the next ones—
39, yeah sometimes i do not let go i shine i shine now the hate froze niggas mad cause they all hoes watching from the outside sometimes i do not let go i shine i shine now the hate froze niggas mad cause they all hoes watching from the outside ayy sauce as fuck i am verified and i am on your thottie mind but i do not want her cause i got a wife playing with the kitty through the day and night playing with the mind on the beat oh i shawty wanna swallow up the meat oh i shawty wanna swallow up the meat oh i hey yeah sometimes i do not let go i shine i shine now the hate froze niggas mad cause they all hoes watching from the outside sometimes i do not let go ayy i shine i shine now the hate froze niggas mad cause they all hoes watching from the outside huh she getting smoked like a bong hm smoked like that song hm that is fire that is my lung hm i got the dope in my sock awyuh she want the crack not the rock mhm i pull up like amhm huh she pull up i am like mhm huah sometimes i do not let go i shine i shine now the hate froze niggas mad cause they all hoes watching from the outside sometimes i do not let go ayy i shine i shine now the hate froze niggas mad cause they all hoes watching from the outside
40, lost in regret i feel so deeply i cannot seem to find a means of ground lost in regret i feel so deeply i cannot seem to find a means of ground hear regret say the words do not cry do not cry it will not end pain will always be my friend do not cry do not cry pain will always be my friend
41,lyrics from snippet father forgive me for you know that i am always sinning i take no interest partying with liquor fucking up my system excuse my language that is a hang up on how shitty i been feeling i am sorry i feel no attraction i know that it is been a minute i said stab wounds and now shorty you know that you hate love government and all the monasteries tryna throw shit off
42, where you said you going he cannot fuck you like i can where you said you going he cannot fuck you like i can he cannot fuck you like i can he cannot fuck you like i can he cannot fuck you like i can he cannot fuck you like i can i i did not remember much i just seen her dead in there it definitely stood out i remember her smell and her touch the way she used to talk to me it all hurts so much now how could i waste so much time on someone who does not even love me and even all the time i spent it is all pointless now i feel like i do not even wanna live anymore save me
43, heart eater why would you eat my heart alive still breathing why you looking so surprised heart eater try but you will not suffice heart eater why would you eat my heart alive still breathing why you looking so surprised heart eater try but you will not suffice ooh you are poison poison filled with poison fill my veins with poison poison filled with poison heart eater why would you eat my heart alive still breathing why you looking so surprised heart eater try but you will not suffice heart eater why would you eat my heart alive still breathing why you looking so surprised heart eater try but you will not suffice
44, you will see bad vibes forever itwillallbeoversoon i see black skies and white lies i would rather be dead filling my head with different enemies thoughts consuming me fueling my insecurities as the ground right under me crumbles as if it was not there it is too much my hearts crushed i am not alive i will not allow myself happiness cause it is all lies i have seen the pain i have run away so many times death and i are companions it is here at all times i will not love will not trust i will not die i cannot feel but managed to steal your heart love was dirt poor now fuck whores and want love it seems that anything offered could be enough but as time body falls so i do not know who to call alone and my heart got tat of it broke i am so fucking numb my life has succumbed to hatred and death alone in the snow
45, how is it feel how is it feel with your broken heart cannot reveal cannot reveal all these fucking scars hurt me now kill the pain this is just the start kill me now numb the pain i just want it to stop run away run away from my broken heart kill me now numb the pain this is just the start run away run away from my broken heart kill me now numb the pain this is just the start heart broken no one can feel me heart open with an incision you broke it too many faces running i am nothing i am nothing different
46, ahem yeah i was staring at the sky singing toxic lullabies i was staring at the sky screaming words with no remorse pitchforks pointed at my heart i was staring at the sky we are gonna break we are gonna break we are gonna break we are gonna break i was staring at the sky singing toxic lullabies i was staring at the sky
47, sing me a sad song top of the morning too by the catacombs you and i it is do or die skies are grey so you flew a kite we knew and i will take my lifetime better days i will not awake and i know you i we die it is so hard to take this time i will fly we will not ever break it is all i know you cannot ever say you i we die it is so hard to take this time i will fly we will not ever break it is all i know you cannot ever say the end just never comes oohah end just never comes oohah end just never comes oohah the end just never comes oohah end just never comes oohah end just never comes oohah
48, what are you so afraid of is it love or wasting your time what are you so afraid of is it love or wasting your time oohooh oohooh oohooh oohooh oohooh oohooh oohooh oohooh what are you so afraid of is it love or wasting your time what are you so afraid of is it love or wasting your time oohooh oohooh oohooh oohooh oohooh oohooh oohooh oohooh oohooh oohooh oohooh oohooh oohooh oohooh oohooh oohooh oohooh oohooh
49, royalty royalty inna mi bloodline dem soldiers yell dem soldiers yell on these front lines do not know why know why but demons come to test us sometimes in my scheme from longtime longtime defeat where you are confined royalty royalty inna mi bloodline dem soldiers yell dem soldiers yell on these front lines do not know why know why but demons come to test us sometimes in my scheme from longtime longtime defeat where you are confined yeah me haffi big up yuh big up yuh big up yuh buy car and land fi yuh use bad man for their bread when the mortgage up big up yuh big up yuh big up yuh gyal dem a kingston haffi whine dem body when they hear me on this one man it is cool until this shit change wanna use me for the money and the cars yeah the big range yeah it is funny how shit change all shorty want is young niggas drawers that shit stains in a poor house biscayne now i am in the coupe with a crib big as chris paine never could forget all the nights it was just pain now i am finna come for the throne do not forget mane royalty royalty inna mi bloodline dem soldiers yell dem soldiers yell on these front lines do not know why know why but demons come to test us sometimes in my scheme from longtime longtime defeat where you are confined nuff tings ah get lock arff iced out rings nah come off clean from me born tell a gyal she fi chuck arff we cannot stall we a rise we a take arff we make the boys do wha dem a do cause the gyal ah set trends name just ah bubble pon the endz tick me ah tock pon the sumtin til it bend we no friend badmind we no fraid of dem we no fraid win we a win til the end royalty royalty inna mi bloodline dem soldiers yell dem soldiers yell on these front lines do not know why know why but demons come to test us sometimes in my scheme from longtime longtime defeat where you are confined his imperial majesty haile selassie so we royal triple x crew so we loyal big batty fat pussy broad gyal come here back it up gyal buss a whine mhm hm bend up inna 10 and inna nine mhmhmm miami gyal caribbean whine yardie say you a real buddy bruka yankie say you a bad muhfucka kymani who waan fi war we can work the army war like irani man grimy crimy cannot style me parrie man triple x to tentacion pull up on dem endz deh like taxi man nah spray cologne we spray hot metal cho man real bad man like sandokan real hot gyal badman go pon anyweh we walk the street govern no fairytale no alice no peter pan versace style louis v pattern we strike the street hard no fifa plan kick you from mobay halfway tree you land we born fi get dough no need no man we life a sort ask the reader man we balls a work we a the breeder and nah laugh with it badman riddim smoke high grade and fly like pigeon real badman we no haffi have image score like scrimmage inna any gyal village fuck dem wicked and squeeze out liquid sharp shooter like billy the kid haffi live twice fi do things that we did tj tell dem we are wild and wicked royalty royalty inna mi bloodline dem soldiers yell dem soldiers yell on these front lines do not know why know why but demons come to test us sometimes in my scheme from longtime longtime defeat where you are confined
50, yeah there she was with the blade in her hand scars on her skin replaced kiss of the man she is played a part for as long as she is known regret fills her heart as her love leaves her home she is learned to be passive but such is a loss accepting defeat when i foreclose the costs for her this was needed to be rid of the pain you play the victim and i will play insane offense or defense passive or violent i will cut my wrists until my heartbeat is silent with the shell in my hand i am equipped with the pump shots in her body until she is a stump stomp out the fucker his death will be slow you made me do this just as far as you know if you do not exist then my pain can be rid so i gut the fucker then eat like a pig offense or defense passive or violent i will cut my wrists until my heartbeat is silent with the shell in my hand i am equipped with the pump shots in her body until she is a stump offense or defense passive or violent i will cut my wrists until my heartbeat is silent with the shell in my hand i am equipped with the pump shots in her body until she is a stump i am the heart marksman
51, duh duh duh duh duh duh duh duh duh duh cannot seem to explain a thing going on in my head on in my head the memories seem to fade away with the thoughts in my head the thoughts in my head running from different enemies and the thoughts in my head the thoughts in my head running from different enemies and the thoughts in my head the thoughts in my and where did you go as i slipped as i slipped i cannot seem to get out my head out my head i wept and i will count the tears i shed tears i shed tears i she sat there and watched as i bled as i bled as i bled as i bled as i bled as i bled as i bled and where did you go as i slipped as i slipped i cannot seem to get out my head out my head and where did you go as i slipped as i slipped i cannot seem to get out my head out my head
52, got it on smash foreign spanish jawn really like the lemonade i put cartiers all over my bitchs face she just got a pair all because a nigga paid put her in the past cause you know yeah you know i smashed yeah i smashed yeah shawty let me smash so i put her in the past yeah i put her in the past yeah i smashed yeah yeah you know i smashed yeah so i put her in the past yeah yeah i put her in the smash she rock carti frames sweet like candy canes if i am superman she my lois lane gucci everything louis everything had to cut her off she sniff too much caine do not look so surprised all she want to do is lie then she turned around and cried demons all in her eyes she do not feel no pain she might be insane colder than some rain pussy lemonade foreign spanish jawn really like the lemonade i put cartiers all over my bitchs face she just got a pair all because a nigga paid put her in the past cause you know yeah you know i smashed yeah i smashed yeah shawty let me smash so i put her in the past yeah i put her in the past yeah i smashed yeah yeah you know i smashed so i put her in the past yeah yeah i put her in the smash
53, voices in your voices in your voices in your head those who tryna drive you mad and make it all make it all wild wild voices in your voices in your voices in your head those who tryna drive you mad and make it all make it all wild wild there is another mind deep in me do not know what is gotten into me i have seen the other side plentifully until the end i will until the end i will fight there is another mind deep in me do not know what is gotten into me i have seen the other side plentifully until the end i will until the end i will fight do not give up do not give up do not give up do not give up do not give up do not give up do not give up do not give up do not give up do not give up do not give up do not give up do not give up do not give up do not give up do not give up
54, i drink blood of school shooters slit throat loose screws get fucked up hang his ass fromflagpoleswith sad souls theinnocent who the fucks protecting us boyyou better buckle up cause i got questions for you fucks i have had enough triple x i just popped a triple x uh a school shooter i just need attention yeah uh tell the principal i ai not got no principles i do not need no school i got internet yeah kids at school calling me different yeah so i am tryna work on my differences yeah cool kids at school smoke bigarettes teens with nicotine or with liquor breath or the semitec at school what is the bigger threat intellect mixed with inner stress that is a recipe for disaster if you do not believe me go ask any chef school shooter i just need mental help saved by the bell i cannot hear the bell give me bad grades i do not give a f get in front of my classmates and kill myself i drink blood of school shooters slit throat loose screws get fucked up hang his ass from flagpoles with sad souls the innocent who the fucks protecting us boy you better buckle up cause i got questions for you fucks i have had enough ah i got a question where was protection how did this happen can we go backwards can we go backwards can we go backwards can we go backwards i got a question i got a question i got a question shooter school shooter i taught em a lesson yeah
55, i dream so much and i just cannot seem to find an answer to what i am looking for in general i cannot keep living like this it is breaking my heart day by day i mean who is to say who is to say you find an answer when living what if you just die what if life as we know it is all a game what if we live for no reason what if you just disappear when you die should i cling to life or should i just kill myself so many contradictions contemplations it is getting harder and harder to mask my pain i cannot tell if i wanna live or if i wanna die please save me
